index,url,Adgangskvotienter,Uddannelse,ledighed_nyudd,maanedloen_nyudd,ledighed_10aar,maanedloen_10aar
109,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi,6.0,Datalogi - Københavns Universitet,2.0,42400.0,1.0,62950.0
110,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi,0.0,Datalogi - Syddansk Universitet,8.0,37800.0,2.0,50900.0
111,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi,0.0,Datalogi - Aarhus Universitet,1.0,41000.0,1.0,54600.0
112,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datalogi,0.0,Datalogi - Aalborg Universitet,5.0,41150.0,0.0,54200.0
113,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/data-science,8.8,Data Science - IT-Universitetet i København,,,,
114,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/datavidenskab,0.0,Datavidenskab - Aarhus Universitet,,,,
115,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/digital-design-og-interaktive-teknologier,10.8,Digital design og interaktive teknologier - IT-Universitetet i København,13.0,35500.0,2.0,49900.0
116,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/forsikringsmatematik,0.0,Forsikringsmatematik - Københavns Universitet,1.0,50400.0,0.0,77700.0
117,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/fysik,0.0,Fysik - Københavns Universitet,6.0,35150.0,2.0,48700.0
118,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/fysik,0.0,Fysik - Syddansk Universitet,13.0,33350.0,2.0,48200.0
